word,count
"""needs",40
"answers""",40
"http://t.co/8esgmurb37",26
"48",5
"palestinian",9
"arrested",59
"#hebron",4
"tel",4
"rumeida",4
"neighborhood",10
"""annoying",4
"soldiers.""",4
"#israeliforces",4
"#wikiwirral",1
"#wirral",1
"drivers",18
"speeding",4
"140mph",4
"spotted",4
"merseyside",4
"http://t.co/wjyr4az5ax",1
"#justiceforcarolinewanjiru",1
"16",3
"girl",97
"stray",2
"bullet",10
"thika",3
"town!",1
"add",2
"911",11
"call!!",1
"listen",15
"
https://t.co/keqciygtlb",1
"13-year-old",13
"bikes",1
"shot:",1
"leg",37
"rode",1
"his…",1
"http://t.co/nzx2yyaqrj",1
"pm",4
"netanyahu:",1
"sharpened",1
"open-fire",1
"orders.",1
"open",14
"fire",27
"face",27
"danger",1
"live…",1
"delaware",28
"shoot",29
"dead",33
"http://t.co/pfn6tajdlu",1
"""there",2
"absolutely",2
"diff",2
"treated",8
"mississippi",2
"california.…",2
"nowplaying",10
"stand",4
"close",4
"#thepolice",6
"#stingandco",6
"radio:",10
"http://t.co/ll5lscyvyy",10
"roxanne",5
"http://t.co/o0ulhxgucs",1
"accidentally",3
"16-year-old",4
"http://t.co/7d6jicllk7",2
"http://t.co/mwkoshen37",2
"♫",4
"http://t.co/icg2m5syzx",1
"sexuality",25
"isnt",25
"rule",25
"follow.",25
"yr",27
"lesbian",25
"fall",25
"luv",25
"w",33
"fuckin",36
"b.",25
"labels",25
"identify",28
"w,",25
"not…",25
"teen",101
"rides",100
"bike",102
"http://t.co/qtstvvdcpi",1
"#assam",7
":curfew",6
"continues",13
"agomoni",7
"area",21
"dhubri",6
"district",7
"2nd",7
"day.",23
"leg:",27
"york",41
"http://t.co/2iemea9pqb",1
"#manus",40
"http://t.co/s2j3…",27
"blue…",1
"https://t.co/8rf1zuhy09",1
"breaking:",136
"erupt",132
"jerusalem’s",125
"http://t.co/3slrxtvyjm",75
"http://t.co/oozhac28vn",75
"falae’s",14
"kidnap",14
"underscores",14
"state",88
"lp",13
"scribe",9
"http://t.co/tq0gonqc1t",1
"cape",1
"town",9
"residence",11
"south",9
"africa",1
"fired",5
"upon.",1
"scream",3
"show",37
"http://t.co/6idzjnluns",1
"vans",1
"aberdeen",1
"transport",2
"villains",1
"g",9
"http://t.co/v6i52izluw",1
"compound",19
"http://t.co/hits7ji2f9",1
"crowd",15
"rushes",3
"stage",6
"tempe",8
"concert",5
"http://t.co/mewugnecvg",3
"#12news",3
"http://t.co/yaanansn4a",1
"రైల్లో",1
"సూదిగాడంటూ",1
"పుకార్లు:",1
"ఘర్షణ,",1
"అరెస్ట్",1
"(ఫోటోలు)",1
"http://t.co/hl4s9hcgfl",1
"#railway",1
"force",40
"unlock",7
"phone,",7
"violates",7
"amendment",7
"rights",28
"http://t.co/aebsc0ytga",1
"#tech",2
"#feedly",2
"http://t.co/dmyjo5qe9k",1
"spies",8
"surveillance",18
"system",10
"karma",34
"profile",8
"""every",8
"visible",26
"user",19
"internet""",7
"http://t.co/8fdidrxxjo",7
"htt…",20
"#яндекс,",1
"#yandex,",1
"#новости,",1
"#политика,",1
"#культура,",1
"#общество
в",1
"кишиневе",1
"произошли",1
"столкновения",1
"http://t.co/xgtkcsebyd",1
"http://t.co/ax9sqwwiuq",1
"armed
.38cal",2
"pistol",2
"recovered",2
"him.
~
being",2
"gave
him",2
"defy",3
"po…",1
"#justiceforjeremymcdole",2
"💯",2
"african",3
"👼😔🙏🙏",2
"i...",5
"#news:",5
"http://t.co/lv6t53xbee",1
".@thenewshype",2
"release",12
"image",4
"church",10
"burglary:",2
"charleston",2
"public's",3
"http://t.co/bdikszsd3v",1
"oz",1
"hides",2
"sovereignty",2
"deny",3
"access",1
"subverts",1
"allowing",1
"evade",1
"http://t.co/czr9zacibs",1
"#losminidelsonido",1
"http://t.co/mj428i6roo",1
"subj,",6
"veh,",6
"circumstance",6
"3900",1
"block",58
"sw",13
"idaho",1
"ter,",1
"portland,",55
"[portland",56
"#pp15000334795]",1
"23:03",2
"#pdx911",68
"oise",2
"beauvais",3
"vote",9
"sur",24
"l'armement",8
"ou",9
"le",21
"est",6
"inédit",1
"responsabilité",1
"grande.",1
"ce",5
"di...",1
"http://t.co/ntpeyftmqm",1
"austin",1
"henry",1
"sector",1
"reporting",6
"child",44
"abduction,",1
"follow....",1
"no.",2
"lonely",3
"upscale",1
"gentleman",1
"date.",1
"bet",2
"find",23
"first.",27
"#castle",1
"#dime_miloko",1
"after...",1
"important",12
"weekend.",8
"washington",16
"virtually",8
"impossible",8
"prosecute",29
"police

http:/…",8
"cop/カッｐ/：警察
policeより口語的な使い方。
""hey,",1
"man.",4
"cops",29
"comin'!""（おいお前ら、サツが来てるぞ！）",1
"official",15
"yall",16
"give",29
"0",14
"fucks",13
"niggas",18
"wheelchairs",14
"😷😷😷
http://t.co/3omtf23usr",13
"🚨police🚨",3
"never🚨",3
"want🚨",3
"u🚨",3
"to🚨",3
"know🚨",3
"this🚨",3
"omfg…..",1
"http://t.co/djotutwyf3",1
"#uwghomecoming2k15",5
"http://t.co/qcqzgoxyf5",1
"#childabuse",2
"scotland",4
"leads",3
"sex",14
"abuse",56
"battle",2
"scotsman",2
"(blog):",2
"(blog)po...",1
"http://t.co/6ytxhyonbc",1
"#googlenews",1
"umpire",1
